Colonne1;Colonne2
aminoside;(AGly)aac
aminoside;(AGly)aac(2')-Id
aminoside;(AGly)aac(3)-IIIb
aminoside;(AGly)aac(3)-IIIc
aminoside;(AGly)aac(6')
aminoside;(AGly)aac(6')-Ia
aminoside;(AGly)aac(6')-Iae
aminoside;(AGly)aac(6')-Ian
aminoside;(AGly)AAC(6')-Isa
aminoside;(AGly)aac(6')-Iz
aminoside;(AGly)aac2-Ia
aminoside;(AGly)aac2-Ib
aminoside;(AGly)aac2-Ic
aminoside;(AGly)aac2-Ie
aminoside;(AGly)aac3-I
aminoside;(AGly)aac3-Ib
aminoside;(AGly)aac3-Ic
aminoside;(AGly)aac3-Id
aminoside;(AGly)aac3-If
aminoside;(AGly)aac3-Ig
aminoside;(AGly)aac3-Ih
aminoside;(AGly)aac3-Ii
aminoside;(AGly)aac3-IIa
aminoside;(AGly)aac3-IIc
aminoside;(AGly)aac3-IId
aminoside;(AGly)aac3-Vb
aminoside;(AGly)aac3-VIa
aminoside;(AGly)aac3-VII
aminoside;(AGly)aac3-Xa
aminoside;(AGly)aac6-31
aminoside;(AGly)aac6-32
aminoside;(AGly)aac6-33
aminoside;(AGly)aac6-Aph2
aminoside;(AGly)aac6-Ia
aminoside;(AGly)aac6-Iaf
aminoside;(AGly)aac6-Ib
aminoside;(AGly)aac6-Ic
aminoside;(AGly)aac6-If
aminoside;(AGly)aac6-Ig
aminoside;(AGly)aac6-Ih
aminoside;(AGly)aac6-Ii
aminoside;(AGly)aac6-IIa
aminoside;(AGly)aac6-IIb
aminoside;(AGly)aac6-IIc
aminoside;(AGly)aac6-Ij
aminoside;(AGly)aac6-Ik
aminoside;(AGly)aac6-Im
aminoside;(AGly)aac6-Iq
aminoside;(AGly)aac6-Ir
aminoside;(AGly)aac6-Is
aminoside;(AGly)aac6-Iu
aminoside;(AGly)aac6-Iv
aminoside;(AGly)aac6-Iw
aminoside;(AGly)aac6-Iy
aminoside;(AGly)aac6-Iz
aminoside;(AGly)aac8
aminoside;(AGly)aacA29b
aminoside;(AGly)aacA43
aminoside;(AGly)aac-IIIa
aminoside;(AGly)aac-IVa
aminoside;(AGly)aad9
aminoside;(AGly)aadA13
aminoside;(AGly)aadA14
aminoside;(AGly)aadA16
aminoside;(AGly)aadA1-pm
aminoside;(AGly)aadA2
aminoside;(AGly)aadA22
aminoside;(AGly)aadA24
aminoside;(AGly)aadA27
aminoside;(AGly)aadA4
aminoside;(AGly)aadA5
aminoside;(AGly)aadA6
aminoside;(AGly)aadA7
aminoside;(AGly)aadA8b
aminoside;(AGly)aadA9
aminoside;(AGly)aadB
aminoside;(AGly)aadC
aminoside;(AGly)aadD
aminoside;(AGly)aadE-Cc
aminoside;(AGly)aadE-Pp
aminoside;(AGly)aadK-Pm
aminoside;(AGly)aadS
aminoside;(AGly)ant(3'')-IIa
aminoside;(AGly)ant(3'')-IIb
aminoside;(AGly)ant(3'')-IIc
aminoside;(AGly)ant3''Ih-Aac6-IId
aminoside;(AGly)ant4-IIb
aminoside;(AGly)ant6-Ia
aminoside;(AGly)ant6-Ib
aminoside;(AGly)aph(2'')-Ib
aminoside;(AGly)aph(2'')-Ic
aminoside;(AGly)aph(2'')-Id
aminoside;(AGly)aph(2'')-If
