Colonne1;Colonne2
aminoside;AAC(2')-Ia
aminoside;AAC(2')-Ib
aminoside;AAC(2')-Ic
aminoside;AAC(2')-Id
aminoside;AAC(2')-Ie
aminoside;AAC(2')-IIa
aminoside;AAC(2')-IIb
aminoside;AAC(3)-Ia
aminoside;AAC(3)-Ib
aminoside;AAC(3)-Ic
aminoside;AAC(3)-Id
aminoside;AAC(3)-IIb
aminoside;AAC(3)-IIc
aminoside;AAC(3)-IId
aminoside;AAC(3)-IIe
aminoside;AAC(3)-IIIa
aminoside;AAC(3)-IIIb
aminoside;AAC(3)-IV
aminoside;AAC(3)-VIa
aminoside;AAC(3)-VIIa
aminoside;AAC(3)-VIIIa
aminoside;AAC(3)-Xa
aminoside;AAC(6')-29a
aminoside;AAC(6')-31
aminoside;AAC(6')-32
aminoside;AAC(6')-33
aminoside;AAC(6')-34
aminoside;AAC(6')-Ia
aminoside;AAC(6')-Iae
aminoside;AAC(6')-Iaf
aminoside;AAC(6')-Iak
aminoside;AAC(6')-Ian
aminoside;AAC(6')-Ib10
aminoside;AAC(6')-Ib7
aminoside;AAC(6')-Ib8
aminoside;AAC(6')-Ib9
aminoside;AAC(6')-Ib-cr
aminoside;AAC(6')-Ic
aminoside;AAC(6')-Ie-APH(2'')-Ia
aminoside;AAC(6')-Ie-APH(2'')-Ia
aminoside;AAC(6')-If
aminoside;AAC(6')-Ig
aminoside;AAC(6')-Ih
aminoside;AAC(6')-Ii
aminoside;AAC(6')-IIa
aminoside;AAC(6')-IIb
aminoside;AAC(6')-IIc
aminoside;AAC(6')-Iid
aminoside;AAC(6')-Iih
aminoside;AAC(6')-Ij
aminoside;AAC(6')-Ik
aminoside;AAC(6')-Il
aminoside;AAC(6')-Im
aminoside;AAC(6')-Iq
aminoside;AAC(6')-Ir
aminoside;AAC(6')-Is
aminoside;AAC(6')-Isa
aminoside;AAC(6')-Iu
aminoside;AAC(6')-Iv
aminoside;AAC(6')-Iw
aminoside;AAC(6')-Ix
aminoside;AAC(6')-Iy
aminoside;AAC(6')-Iz
aminoside;aacA43
aminoside;aad(6)
aminoside;aadA13
aminoside;aadA14
aminoside;aadA16
aminoside;aadA2
aminoside;aadA22
aminoside;aadA27
aminoside;aadA4
aminoside;aadA5
aminoside;aadA6
aminoside;aadA7
aminoside;aadA8b
aminoside;aadA9
aminoside;aadK
aminoside;aadS
Multidrug_efflux;abeM
MLS;abeS
blactamase;ACC-2
blactamase;ACC-3
blactamase;ACC-5
blactamase;ACI-1
Multidrug_efflux;Acinetobacter baumannii AbuO
fosfomycin;Acinetobacter_baumannii_AbaF
quinolone;Acinetobacter_baumannii_AbaQ
MLS;Acinetobacter_baumannii_AmvA
Multidrug_efflux;AcrAB-TolC
aminoside;AcrAD-TolC
Multidrug_efflux;acrB
aminoside;acrD
Multidrug_efflux;acrE
Multidrug_efflux;acrF
Multidrug_efflux;acrS
blactamase;ACT-10
blactamase;ACT-10
blactamase;ACT-12
blactamase;ACT-12
blactamase;ACT-2
blactamase;ACT-21
blactamase;ACT-27
blactamase;ACT-28
blactamase;ACT-29
blactamase;ACT-37
blactamase;ACT-38
blactamase;ACT-4
blactamase;ACT-6
blactamase;ADC-13
blactamase;ADC-13
blactamase;ADC-15
blactamase;ADC-15
blactamase;ADC-16
blactamase;ADC-16
blactamase;ADC-18
blactamase;ADC-18
blactamase;ADC-19
blactamase;ADC-19
blactamase;ADC-2
blactamase;ADC-20
blactamase;ADC-21
blactamase;ADC-22
blactamase;ADC-43
blactamase;ADC-44
blactamase;ADC-5
blactamase;ADC-68
blactamase;ADC-75
blactamase;ADC-8
Multidrug_efflux;adeA
Multidrug_efflux;adeB
Multidrug_efflux;adeC
Multidrug_efflux;adeF
Multidrug_efflux;adeG
Multidrug_efflux;adeH
Multidrug_efflux;adeI
Multidrug_efflux;adeJ
Multidrug_efflux;adeK
Multidrug_efflux;adeL
Multidrug_efflux;adeN
Multidrug_efflux;adeR
Multidrug_efflux;adeS
blactamase;AER-1
phenicol;Agrobacterium_fabrum_chloramphenicol_acetyltransferase
blactamase;AIM-1
blactamase;AIM-1
peptide;almG
Multidrug_efflux;amrA
Multidrug_efflux;amrB
aminoside;ANT(2'')-Ia
aminoside;ANT(3'')-IIa
