"gene;AN;origin;antibiotic"
"beta_lactamase;KU608166.1;feces;AMP"
"beta_lactamase;KU606014.1;feces;AMP"
"beta_lactamase;KU608079.1;feces;AMP"
"beta_lactamase;KU606564.1;feces;AMP"
"beta_lactamase;KU605995.1;feces;AMP"
"beta_lactamase;KU606824.1;feces;AMP"
"beta_lactamase;KU607062.1;feces;AMP"
"beta_lactamase;KU607474.1;feces;AMP"
"beta_lactamase;KU607733.1;feces;AMP"
"beta_lactamase;KU607869.1;feces;AMP"
"beta_lactamase;KU606485.1;feces;AMP"
"beta_lactamase;KU606321.1;feces;AMP"
"beta_lactamase;KU607059.1;feces;AMP"
"beta_lactamase;KU606004.1;feces;AMP"
"beta_lactamase;KU608174.1;feces;AMP"
"beta_lactamase;KU606420.1;feces;AMP"
"beta_lactamase;KU605821.1;feces;AMX"
"beta_lactamase;KU606030.1;feces;AMX"
"beta_lactamase;KU606570.1;feces;AMX"
"beta_lactamase;KU607088.1;feces;AMX"
"beta_lactamase;KU607878.1;feces;AMX"
"beta_lactamase;KU608085.1;feces;AMX"
"beta_lactamase;KU607092.1;feces;AMX"
"beta_lactamase;KU606042.1;feces;AMC"
"beta_lactamase;KU606585.1;feces;AMC"
"beta_lactamase;KU606870.1;feces;AMC"
"beta_lactamase;KU607514.1;feces;AMC"
"beta_lactamase;KU607761.1;feces;AMC"
"beta_lactamase;KU607886.1;feces;AMC"
"beta_lactamase;KU608094.1;feces;AMC"
"beta_lactamase;KU606494.1;feces;AMC"
"beta_lactamase;KU608201.1;feces;AMC"
"beta_lactamase;KU606044.1;feces;AMC"
"beta_lactamase;KU608095.1;feces;AMC"
"beta_lactamase;KU608215.1;feces;AMC"
"beta_lactamase;KU607105.1;feces;ATM"
"beta_lactamase;KU606500.1;feces;ATM"
"cat;KU607141.1;feces;CHL"
"phospholipid_phosphatase;KU607778.1;feces;CST"
"beta_lactamase;KU606067.1;feces;FOX"
"beta_lactamase;KU607568.1;feces;FOX"
"beta_lactamase;KU606526.1;feces;FOX"
"beta_lactamase;KU607160.1;feces;FOX"
"beta_lactamase;KU607561.1;feces;FOX"
"beta_lactamase;KU607182.1;feces;CAZ"
"beta_lactamase;KU608256.1;feces;CAZ"
"beta_lactamase;KU607183.1;feces;CAZ"
"beta_lactamase;KU606886.1;feces;CAZ"
"beta_lactamase;KU607578.1;feces;CAZ"
"beta_lactamase;KU606101.1;feces;PEN"
"beta_lactamase;KU607588.1;feces;PEN"
"beta_lactamase;KU606643.1;feces;PEN"
"beta_lactamase;KU606896.1;feces;PEN"
"beta_lactamase;KU607672.1;feces;PEN"
"beta_lactamase;KU607800.1;feces;PEN"
"beta_lactamase;KU607811.1;feces;PEN"
"beta_lactamase;KU607954.1;feces;PEN"
"beta_lactamase;KU607814.1;feces;PEN"
