gmgc_id;family;ARG-ANNOT;CARD;NCBI;ResFinder;ResFinderFG
GMGC10.000_003_916.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_004_264.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_114_492.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_121_417.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.000_175_912.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_195_880.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_208_251.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_214_809.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_233_630.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.000_234_148.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_261_260.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_264_470.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_272_478.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_285_924.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_402_579.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.000_403_150.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_437_816.UNKNOWN;cycline;1;1;1;1;1
GMGC10.000_477_742.TETA;cycline;1;1;1;1;1
GMGC10.000_484_858.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_501_116.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_507_290.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_544_401.UNKNOWN;blactamase;0;0;0;0;1
GMGC10.000_553_065.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_585_584.CRP;Multidrug_efflux;0;1;0;0;0
GMGC10.000_674_138.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_683_670.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_764_548.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_765_256.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_765_555.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_770_188.TETP;cycline;1;1;1;1;0
GMGC10.000_795_351.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_800_242.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_818_031.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_906_193.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.000_976_812.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.000_988_091.FOLA;Sulfonamide/trimethoprim;0;0;0;0;1
GMGC10.001_016_570.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
GMGC10.001_032_111.UNKNOWN;MLS;1;1;1;1;0
GMGC10.001_119_546.DDL;Glycopeptide/Cycloserine;0;0;0;0;1
