GMGC_id;db;seq_id;gene;family
GMGC10.000_003_916.DDL;ResFinderFG;81.97;"D-alanine--D-alanine ligase""|KF628006.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_004_264.DDL;ResFinderFG;85.75;"D-alanine--D-alanine ligase""|KX127173.1|newborn_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_114_492.DDL;ResFinderFG;84.42;"D-alanine--D-alanine ligase B""|KF629134.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_121_417.CRP;CARD;99.05;emrE;Multidrug_efflux
GMGC10.000_175_912.DDL;ResFinderFG;81.1;"D-alanine--D-alanine ligase B""|KX125727.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_195_880.FOLA;ResFinderFG;84.76;"Dihydrofolate reductase""|KX126790.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_208_251.DDL;ResFinderFG;80.77;"D-alanine--D-alanine ligase B""|KX125727.1|human_gut|CYC";Glycopeptide/Cycloserine
GMGC10.000_214_809.DDL;ResFinderFG;97.21;"D-alanine--D-alanine ligase A""|KF627269.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_233_630.CRP;CARD;99.21;emrE;Multidrug_efflux
GMGC10.000_234_148.DDL;ResFinderFG;87.59;"D-alanine--D-alanine ligase""|KF629618.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_261_260.DDL;ResFinderFG;85.48;"D-alanine--D-alanine ligase""|KF630276.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_264_470.DDL;ResFinderFG;86.73;"D-alanine--D-alanine ligase""|KF628560.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_272_478.FOLA;ResFinderFG;99.83;"Dihydrofolate reductase""|KX126113.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_285_924.DDL;ResFinderFG;80.93;"D-alanine--D-alanine ligase""|KF628006.1|pediatric_fecal_sample|CYC";Glycopeptide/Cycloserine
GMGC10.000_402_579.CRP;CARD;88.78;emrE;Multidrug_efflux
GMGC10.000_403_150.FOLA;ResFinderFG;87.65;"Dihydrofolate reductase""|KX126869.1|newborn_gut|SXT";Sulfonamide/trimethoprim
GMGC10.000_437_816.UNKNOWN;ARG-ANNOT;91.69;(Tet)tetA-P;cycline
GMGC10.000_437_816.UNKNOWN;CARD;91.69;TetA(P) is a inner membrane tetracycline efflux protein found on the same operon as the ribosomal protection protein TetB(P). It is found in Clostridium a Gram-positive bacterium.;cycline
GMGC10.000_437_816.UNKNOWN;NCBI;99.84;tetracycline efflux MFS transporter TetA(P);cycline
GMGC10.000_437_816.UNKNOWN;ResFinder;91.92;tetA(P);cycline
GMGC10.000_437_816.UNKNOWN;ResFinderFG;91.92;"tetracycline efflux MFS transporter TetA(P)""|KU607472.1|Preterm_infant_stool|TET";cycline
GMGC10.000_477_742.TETA;ARG-ANNOT;92.5;(Tet)tetG;cycline
