"gene;AN;origin;antibiotic"
"Beta-lactamase_CTX-M-97;EU885954.1;larval_midguts;CAR"
"Beta-lactamase_CTX-M-1;KF791056.1;retail_host;AMP"
"Dihydrofolate_reductase;KF791059.1;retail_host;TMP"
"Beta-lactamase;MK935727.1;Gorilla_feces;CST"
"Beta-lactamase;MK935730.1;Human_feces;PIP"
"Beta-lactamase;MK935731.1;Human_feces;AMP"
"Beta-lactamase;MK935732.1;Human_feces;AMP"
"Beta-lactamase;MK935734.1;Human_feces;CAZ"
"Beta-lactamase;MK935735.1;Human_feces;CST"
"Beta-lactamase;MK935736.1;Human_feces;ATM"
"Beta-lactamase;MK935737.1;Human_feces;AMX"
"Beta-lactamase;MK935738.1;Human_feces;AMX"
"Beta-lactamase;MK935739.1;Human_feces;AMX"
"Beta-lactamase;MK935740.1;Human_feces;AMP"
"Beta-lactamase;MK935741.1;Human_feces;PEN"
"Beta-lactamase;MK935742.1;Human_feces;CST"
"Beta-lactamase;MK935743.1;Human_feces;CST"
"Beta-lactamase;MK935745.1;Human_feces;PEN"
"Beta-lactamase;MK935746.1;Human_feces;PIP"
"Beta-lactamase;MK935747.1;Human_feces;CST"
"Beta-lactamase;MK935748.1;Human_feces;CST"
"Beta-lactamase;MK935749.1;Gorilla_feces;AMX"
"Beta-lactamase;MK935751.1;Human_feces;PEN"
"Beta-lactamase;MK935752.1;Human_feces;AMP"
"Beta-lactamase;MK935753.1;Human_feces;CST"
"Beta-lactamase;MK935754.1;Human_feces;CST"
"Beta-lactamase;MK935755.1;Human_feces;CST"
"Beta-lactamase;MK935756.1;Human_feces;CAZ"
"Beta-lactamase;MK935757.1;Human_feces;PEN"
"Beta-lactamase;MK935758.1;Human_feces;PEN"
"Beta-lactamase;MK935759.1;Human_feces;CST"
"Beta-lactamase;MK935760.1;Human_feces;PEN"
"Beta-lactamase;MK935761.1;Human_feces;PEN"
"Beta-lactamase;MK935762.1;Human_feces;PIP"
"Beta-lactamase;MK935764.1;Human_feces;AMP"
"Beta-lactamase;MK935767.1;Human_feces;AMX"
"Beta-lactamase;MK935770.1;Human_feces;AMP"
"Beta-lactamase;MK935774.1;Human_feces;CST"
"Beta-lactamase;MK935775.1;Human_feces;PIP"
"Beta-lactamase;MK935776.1;Human_feces;CAZ"
"Beta-lactamase;MK935778.1;Human_feces;CST"
"Extended-spectrum_beta-lactamase_PER-1;MK935781.1;Human_feces;AMX"
"Extended-spectrum_beta-lactamase_PER-1;MK935782.1;Human_feces;AMX"
"Extended-spectrum_beta-lactamase_PER-1;MK935786.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935787.1;Human_feces;PEN"
"Extended-spectrum_beta-lactamase_PER-1;MK935788.1;Human_feces;PIP"
"Extended-spectrum_beta-lactamase_PER-1;MK935789.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935790.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935791.1;Human_feces;PEN"
"Extended-spectrum_beta-lactamase_PER-1;MK935792.1;Human_feces;PIP"
"Extended-spectrum_beta-lactamase_PER-1;MK935793.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935796.1;Human_feces;PIP"
"Extended-spectrum_beta-lactamase_PER-1;MK935797.1;Human_feces;AMP"
"Extended-spectrum_beta-lactamase_PER-1;MK935798.1;Human_feces;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;MK935800.1;Human_feces;PEN"
"Extended-spectrum_beta-lactamase_PER-1;MK935802.1;Human_feces;AMP"
"Extended-spectrum_beta-lactamase_PER-1;MK935804.1;Human_feces;FEP"
"Extended-spectrum_beta-lactamase_PER-1;MK935806.1;Human_feces;PEN"
"Extended-spectrum_beta-lactamase_PER-1;MK935812.1;Human_feces;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;MK935813.1;Human_feces;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;MK935816.1;Pan_troglodytes_feces;AMX"
"Extended-spectrum_beta-lactamase_PER-1;MK935817.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935819.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935820.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935821.1;Human_feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;MK935825.1;Human_feces;AMX"
"Extended-spectrum_beta-lactamase_PER-1;MK935827.1;Human_feces;AMX"
"Extended-spectrum_beta-lactamase_PER-1;MK935828.1;Human_feces;AMX"
"Extended-spectrum_beta-lactamase_PER-1;MK935829.1;Human_feces;AMX"
"Chloramphenicol_acetyltransferase;MK935832.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935834.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935836.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935837.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935838.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase_3;MK935840.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935842.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935846.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935848.1;Human_feces;CHL"
"Chloramphenicol_acetyltransferase;MK935850.1;Human_feces;CHL"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935853.1;Pan_troglodytes_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935854.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935857.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935858.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935860.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935862.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935864.1;Pan_troglodytes_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935865.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935867.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935868.1;Gorilla_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935869.1;Pan_troglodytes_feces;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;MK935872.1;Pan_troglodytes_feces;GEN"
"Beta-lactamase_SHV-1;MK935873.1;Human_feces;CST"
"Beta-lactamase_TEM;MK935884.1;Human_feces;PIP"
"Beta-lactamase_TEM;MK935892.1;Human_feces;PEN"
"Beta-lactamase_TEM;MK935898.1;Human_feces;AMP"
"Beta-lactamase_TEM;MK935900.1;Human_feces;PEN"
"Beta-lactamase_TEM;MK935905.1;Human_feces;PEN"
"Extended-spectrum_beta-lactamase_PER-1;MK935925.1;Human_feces;CAZ"
"Beta-lactamase_1;MK935928.1;Gorilla_feces;PEN"
"Extended-spectrum_beta-lactamase_PER-1;MK935929.1;Human_feces;ATM"
"Beta-lactamase_SHV-1;MK935931.1;Pan_troglodytes_feces;AMX"
"Beta-lactamase;MK935932.1;Gorilla_feces;AMP"
"Extended-spectrum_beta-lactamase_PER-1;MK935943.1;Human_feces;CAZ"
"Beta-lactamase_PSE-4;MK935946.1;Human_feces;AMP"
"Extended-spectrum_beta-lactamase_PER-1;MK935948.1;Human_feces;PEN"
"Beta-lactamase;MK935949.1;Gorilla_feces;PIP"
"Extended-spectrum_beta-lactamase_PER-1;MK935960.1;Human_feces;ATM"
"Beta-lactamase_PSE-4;MK935965.1;Human_feces;CST"
"Extended-spectrum_beta-lactamase_PER-1;MK935971.1;Human_feces;CAZ"
"Beta-lactamase;MK935979.1;Human_feces;PEN"
"Beta-lactamase;MK935982.1;Human_feces;PEN"
"Beta-lactamase;MK935990.1;Pan_troglodytes_feces;ATM"
"Beta-lactamase;MK935991.1;Gorilla_feces;CAZ"
"Beta-lactamase_OXA-133;MK935996.1;Gorilla_feces;AMP"
"Beta-lactamase_OXA-10;MK935997.1;Human_feces;AMX"
"Beta-lactamase_OXA-133;MK935998.1;Gorilla_feces;CST"
"tetracycline_resistance_ribosomal_protection_protein_Tet(32);MK936002.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(O);MK936004.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(32);MK936007.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);MK936008.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(O);MK936009.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);MK936011.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(M);MK936012.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(32);MK936015.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);MK936016.1;Pan_troglodytes_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);MK936020.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(32);MK936021.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(O);MK936024.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(32);MK936025.1;Human_feces;TET"
"Tetracycline_resistance_protein_TetO;MK936026.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936029.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936031.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936032.1;Pan_troglodytes_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936033.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936034.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936035.1;Gorilla_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936036.1;Human_feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);MK936037.1;Human_feces;TET"
"Beta-lactamase_TEM;JN086157.1;human_fecal_matter;AMX"
"Extended-spectrum_beta-lactamase_PER-1;JN086158.1;human_fecal_matter;AMX"
"Beta-lactamase_OXA-10;JN086160.1;human_fecal_matter;AMX"
"D-alanine--D-alanine_ligase;JN086161.1;human_fecal_matter;CYC"
"D-alanine--D-alanine_ligase;JN086162.1;human_fecal_matter;CYC"
"D-alanine--D-alanine_ligase;JN086164.1;human_fecal_matter;CYC"
"D-alanine--D-alanine_ligase;JN086165.1;human_fecal_matter;CYC"
"D-alanine--D-alanine_ligase;JN086166.1;human_fecal_matter;CYC"
"D-alanine--D-alanine_ligase;JN086167.1;human_fecal_matter;CYC"
"D-alanine--D-alanine_ligase;JN086168.1;human_fecal_matter;CYC"
"tetracycline_resistance_ribosomal_protection_protein_Tet(O);JN086171.1;human_fecal_matter;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);JN086172.1;human_fecal_matter;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(32);JN086173.1;human_fecal_matter;TET"
"Beta-lactamase;KJ910910.1;feces;CAZ"
"Beta-lactamase;KJ910913.1;feces;PEN"
"Beta-lactamase;KJ910914.1;feces;TZP"
"Beta-lactamase;KJ910915.1;feces;PIP"
"Beta-lactamase;KJ910926.1;feces;ATM"
"Beta-lactamase;KJ910932.1;feces;CAZ"
"Beta-lactamase;KJ910933.1;feces;PEN"
"Beta-lactamase;KJ910934.1;feces;TZP"
"Beta-lactamase;KJ910936.1;feces;PIP"
"Extended-spectrum_beta-lactamase_PER-1;KJ910942.1;feces;ATM"
"Extended-spectrum_beta-lactamase_PER-1;KJ910948.1;feces;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;KJ910949.1;feces;PIP"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);KJ910950.1;feces;TET"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910959.1;feces;CAZ"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910962.1;feces;TZP"
"Chloramphenicol_acetyltransferase;KJ910965.1;feces;CHL"
"Tetracycline_resistance_protein_TetO;KJ910966.1;feces;TET"
"Chloramphenicol_acetyltransferase;KJ910967.1;feces;CHL"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910969.1;feces;CAZ"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910971.1;feces;CAZ"
"Chloramphenicol_acetyltransferase_2;KJ910976.1;feces;CHL"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910977.1;feces;CAZ"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910979.1;feces;CAZ"
"putative_peptidoglycan_D%2CD-transpeptidase_PenA;KJ910980.1;feces;CAZ"
"Beta-lactamase;KJ910983.1;feces;CAZ"
"Metallo-beta-lactamase_L1_type_3;KJ910984.1;feces;PEN"
"Metallo-beta-lactamase_L1_type_3;KJ910985.1;feces;PEN"
"Metallo-beta-lactamase_L1_type_3;KJ910986.1;feces;PEN"
"Metallo-beta-lactamase_L1_type_3;KJ910987.1;feces;PEN"
"Metallo-beta-lactamase_L1_type_3;KJ910988.1;feces;PEN"
"Beta-lactamase;KJ910989.1;feces;PEN"
"Metallo-beta-lactamase_L1_type_3;KJ910991.1;feces;PEN"
"Metallo-beta-lactamase_type_2;KJ910994.1;feces;PEN"
"Beta-lactamase_1;KJ910995.1;feces;TZP"
"Beta-lactamase_1;KJ910996.1;feces;PIP"
"tetracycline_resistance_ribosomal_protection_protein_Tet(W);KJ911000.1;feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(M);KJ911006.1;feces;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(Q);KJ911008.1;feces;TET"
"Extended-spectrum_beta-lactamase_PER-1;GQ244488.1;soil;AMX"
"Extended-spectrum_beta-lactamase_PER-1;GQ244489.1;soil;CAR"
"Metallo-beta-lactamase_L1_type_3;GQ244491.1;soil;AMX"
"Beta-lactamase;GQ244493.1;soil;CAZ"
"Beta-lactamase;GQ244494.1;soil;PIP"
"Beta-lactamase_OXA-10;GQ244495.1;soil;CAR"
"Beta-lactamase_OXA-18;GQ244496.1;soil;CAZ"
"tetracycline_resistance_ribosomal_protection_protein_Tet(S);KY686299.1;Cabrales_cheese;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(M);KY686300.1;Cabrales_cheese;TET"
"tetracycline_resistance_ribosomal_protection_protein_Tet(M);KY686301.1;Cabrales_cheese;TET"
"tetracycline_efflux_MFS_transporter_Tet(L);KY686302.1;Cabrales_cheese;TET"
"Beta-lactamase;JX009203.1;soil;AMX"
"Beta-lactamase;JX009204.1;soil;AMX"
"Beta-lactamase_Toho-1;JX009205.1;soil;AMX"
"Beta-lactamase;JX009206.1;soil;AMX"
"Beta-lactamase;JX009207.1;soil;AMX"
"Beta-lactamase;JX009209.1;soil;AMX"
"Beta-lactamase_PSE-1;JX009211.1;soil;AMX"
"Beta-lactamase;JX009212.1;soil;AMX"
"Beta-lactamase;JX009229.1;soil;CAR"
"Beta-lactamase;JX009231.1;soil;CAR"
"Beta-lactamase;JX009233.1;soil;CAR"
"Beta-lactamase;JX009234.1;soil;CAR"
"Beta-lactamase;JX009235.1;soil;CAR"
"Chloramphenicol_acetyltransferase;JX009248.1;soil;CHL"
"D-alanine--D-alanine_ligase_A;JX009269.1;soil;CYC"
"2''-aminoglycoside_nucleotidyltransferase;JX009286.1;soil;GEN"
"Tetracycline_resistance_protein%2C_class_C;JX009290.1;soil;MIN"
"Tetracycline_resistance_protein%2C_class_C;JX009293.1;soil;OXY"
"Beta-lactamase;JX009294.1;soil;PEN"
"Beta-lactamase;JX009295.1;soil;PEN"
"Beta-lactamase;JX009300.1;soil;PEN"
"Beta-lactamase;JX009301.1;soil;PEN"
"Beta-lactamase;JX009322.1;soil;PIP"
"Beta-lactamase;JX009323.1;soil;PIP"
"Beta-lactamase;JX009324.1;soil;PIP"
"Beta-lactamase_PSE-4;JX009326.1;soil;PIP"
"Beta-lactamase;JX009328.1;soil;PIP"
"Chloramphenicol_acetyltransferase_2;JX009375.1;gut;CHL"
"Extended-spectrum_beta-lactamase_PER-1;JX009377.1;gut;CAR"
"Chloramphenicol_acetyltransferase;KJ691889.1;grassland_soil;CHL"
"D-alanine--D-alanine_ligase;KJ691893.1;grassland_soil;CYC"
"Extended-spectrum_beta-lactamase_PER-1;KJ691895.1;grassland_soil;ATM"
"Tetracycline_resistance_protein_TetO;KJ691905.1;grassland_soil;TET"
"Extended-spectrum_beta-lactamase_PER-1;KJ691910.1;grassland_soil;FEP"
"Dihydrofolate_reductase;KJ691913.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ691914.1;grassland_soil;TMP"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;KJ691920.1;grassland_soil;GEN"
"Metallo-beta-lactamase_L1_type_3;KJ691922.1;grassland_soil;ATM"
"Beta-lactamase_OXA-10;KJ691924.1;grassland_soil;ATM"
"Metallo-beta-lactamase_type_2;KJ691928.1;grassland_soil;PEN"
"Beta-lactamase_OXA-10;KJ691929.1;grassland_soil;PEN"
"Dihydrofolate_reductase;KJ691931.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ691932.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ691937.1;grassland_soil;TMP"
"putative_beta-lactamase_YbxI;KJ691939.1;grassland_soil;ATM"
"Beta-lactamase_Toho-1;KJ691941.1;grassland_soil;PEN"
"Beta-lactamase_OXA-2;KJ691944.1;grassland_soil;PEN"
"D-alanine--D-alanine_ligase;KJ691947.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase;KJ691950.1;grassland_soil;CYC"
"Dihydrofolate_reductase;KJ691954.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ691958.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ691959.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ691960.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ691961.1;grassland_soil;TMP"
"Beta-lactamase_OXA-10;KJ691965.1;grassland_soil;ATM"
"putative_beta-lactamase_YbxI;KJ691966.1;grassland_soil;ATM"
"D-alanine--D-alanine_ligase_B;KJ691967.1;grassland_soil;CYC"
"Dihydrofolate_reductase_type_3;KJ691968.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ691972.1;grassland_soil;TMP"
"Tetracycline_resistance_protein%2C_class_C;KJ691977.1;grassland_soil;TET"
"Tetracycline_resistance_protein%2C_class_C;KJ691980.1;grassland_soil;TET"
"Beta-lactamase_OXA-2;KJ691985.1;grassland_soil;PEN"
"putative_beta-lactamase_YbxI;KJ691992.1;grassland_soil;PIP"
"Beta-lactamase_OXA-10;KJ691997.1;grassland_soil;PEN"
"Metallo-beta-lactamase_L1_type_3;KJ691998.1;grassland_soil;PEN"
"Dihydrofolate_reductase_type_3;KJ692002.1;grassland_soil;SXT"
"Dihydrofolate_reductase_type_3;KJ692009.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692014.1;grassland_soil;TMP"
"D-alanine--D-alanine_ligase;KJ692023.1;grassland_soil;CYC"
"Dihydrofolate_reductase_type_3;KJ692028.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ692029.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ692032.1;grassland_soil;SXT"
"Dihydrofolate_reductase;KJ692033.1;grassland_soil;SXT"
"Dihydrofolate_reductase_type_3;KJ692038.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692039.1;grassland_soil;TMP"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;KJ692040.1;grassland_soil;GEN"
"16S_rRNA_(guanine(1405)-N(7))-methyltransferase;KJ692041.1;grassland_soil;GEN"
"Extended-spectrum_beta-lactamase_PER-1;KJ692045.1;grassland_soil;CAZ"
"Extended-spectrum_beta-lactamase_PER-1;KJ692046.1;grassland_soil;CAZ"
"D-alanine--D-alanine_ligase;KJ692049.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase;KJ692050.1;grassland_soil;CYC"
"putative_beta-lactamase_YbxI;KJ692057.1;grassland_soil;PIP"
"Dihydrofolate_reductase_type_3;KJ692061.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692073.1;grassland_soil;TMP"
"Metallo-beta-lactamase_L1_type_3;KJ692079.1;grassland_soil;CAZ"
"Metallo-beta-lactamase_L1_type_3;KJ692085.1;grassland_soil;FOX"
"Metallo-beta-lactamase_L1_type_3;KJ692088.1;grassland_soil;FOX"
"D-alanine--D-alanine_ligase_B;KJ692090.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase;KJ692092.1;grassland_soil;CYC"
"D-alanine--D-alanine_ligase_B;KJ692093.1;grassland_soil;CYC"
"Dihydrofolate_reductase;KJ692100.1;grassland_soil;TMP"
"D-alanine--D-alanine_ligase_B;KJ692103.1;grassland_soil;CYC"
"Dihydrofolate_reductase;KJ692107.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692108.1;grassland_soil;TMP"
"Metallo-beta-lactamase_L1_type_3;KJ692110.1;grassland_soil;FOX"
"Metallo-beta-lactamase_L1_type_3;KJ692111.1;grassland_soil;FOX"
"Metallo-beta-lactamase_L1_type_3;KJ692118.1;grassland_soil;FOX"
"Dihydrofolate_reductase;KJ692120.1;grassland_soil;SXT"
"Tetracycline_resistance_protein%2C_class_C;KJ692122.1;grassland_soil;TET"
"Tetracycline_resistance_protein_TetM_from_transposon_TnFO1;KJ692127.1;grassland_soil;TET"
"Dihydrofolate_reductase;KJ692133.1;grassland_soil;TMP"
"Dihydrofolate_reductase_type_3;KJ692135.1;grassland_soil;TMP"
"Dihydrofolate_reductase;KJ692170.1;grassland_soil;TMP"
